scenario,family,attack,assumption_status,expected_truth_at_dispatch
benign_standard,benign,0,within_model,1
benign_cached,benign,0,within_model,1
benign_one_source_outage,outage,0,within_model,1
benign_two_independent_outages,outage,0,within_model,1
prompt_injection,prompt_injection,1,within_model,0
role_tag_injection,prompt_injection,1,within_model,0
semantic_substitution,semantic_substitution,1,within_model,0
shared_provenance,shared_provenance,1,within_model,0
stale_evidence,stale_evidence,1,within_model,0
version_race,version_race,1,within_model,0
evidence_denial,availability,1,within_model,0
amount_mutation,mandate_binding,1,within_model,1
merchant_substitution,mandate_binding,1,within_model,1
currency_substitution,mandate_binding,1,within_model,1
evidence_signature_tampering,cryptographic_integrity,1,within_model,0
ap2_token_tampering,mandate_binding,1,within_model,1
ap2_nonce_replay,mandate_binding,1,within_model,1
ap2_audience_confusion,mandate_binding,1,within_model,1
ap2_transaction_swap,mandate_binding,1,within_model,1
fault_budget_exceeded,assumption_break,1,violated:f_actual_gt_f,0
hidden_shared_dependency,assumption_break,1,violated:incomplete_provenance,0
