seed,domain_count,fault_budget,n_candidates,adversary,feasible,theoretical_min_cost,realized_cost,verdict,queried_count,wasted_queries,rounds,overhead_ratio
950610600,6,1,6,benign,1,7,7,ALLOW,2,0,1,1.0
950610601,6,1,6,benign,1,5,5,ALLOW,2,0,1,1.0
950610602,6,1,6,benign,1,5,5,ALLOW,2,0,1,1.0
950610603,6,1,6,benign,1,12,12,ALLOW,2,0,1,1.0
950610604,6,1,6,benign,1,3,3,ALLOW,2,0,1,1.0
950610605,6,1,6,benign,1,14,14,ALLOW,2,0,1,1.0
950610606,6,1,6,benign,1,10,10,ALLOW,2,0,1,1.0
950610607,6,1,6,benign,1,4,4,ALLOW,2,0,1,1.0
950610608,6,1,6,benign,1,7,7,ALLOW,2,0,1,1.0
950610609,6,1,6,benign,1,6,6,ALLOW,2,0,1,1.0
950610610,6,1,6,benign,1,8,8,ALLOW,2,0,1,1.0
950610611,6,1,6,benign,1,2,2,ALLOW,2,0,1,1.0
950610612,6,1,6,benign,1,3,3,ALLOW,2,0,1,1.0
950610613,6,1,6,benign,1,11,11,ALLOW,2,0,1,1.0
950610614,6,1,6,benign,1,6,6,ALLOW,2,0,1,1.0
950610615,6,1,6,benign,1,14,14,ALLOW,3,0,1,1.0
950610616,6,1,6,benign,1,2,2,ALLOW,2,0,1,1.0
950610617,6,1,6,benign,1,4,4,ALLOW,2,0,1,1.0
950610618,6,1,6,benign,1,5,5,ALLOW,2,0,1,1.0
950610619,6,1,6,benign,1,10,10,ALLOW,2,0,1,1.0
950610610,6,1,6,random,1,12,16,ALLOW,3,1,2,1.3333333333333333
950610611,6,1,6,random,1,2,2,ALLOW,2,0,1,1.0
950610612,6,1,6,random,1,7,10,ALLOW,4,1,2,1.4285714285714286
950610613,6,1,6,random,1,13,15,ALLOW,3,1,2,1.1538461538461537
950610614,6,1,6,random,1,6,6,ALLOW,2,0,1,1.0
950610615,6,1,6,random,0,,17,STEP_UP,3,2,3,
950610616,6,1,6,random,1,2,2,ALLOW,2,0,1,1.0
950610617,6,1,6,random,1,4,4,ALLOW,2,0,1,1.0
950610618,6,1,6,random,1,5,8,ALLOW,3,1,2,1.6
950610619,6,1,6,random,1,10,10,ALLOW,2,0,1,1.0
950610620,6,1,6,random,1,2,2,ALLOW,2,0,1,1.0
950610621,6,1,6,random,1,5,8,ALLOW,3,1,2,1.6
950610622,6,1,6,random,1,2,2,ALLOW,2,0,1,1.0
950610623,6,1,6,random,1,4,4,ALLOW,2,0,1,1.0
950610624,6,1,6,random,1,5,9,ALLOW,3,1,2,1.8
950610625,6,1,6,random,1,13,14,ALLOW,3,1,2,1.0769230769230769
950610626,6,1,6,random,1,5,7,ALLOW,3,1,2,1.4
950610627,6,1,6,random,1,6,6,ALLOW,2,0,1,1.0
950610628,6,1,6,random,1,2,2,ALLOW,2,0,1,1.0
950610629,6,1,6,random,1,3,3,ALLOW,2,0,1,1.0
950610620,6,1,6,adversarial,1,7,10,ALLOW,5,3,4,1.4285714285714286
950610621,6,1,6,adversarial,0,,5,STEP_UP,2,2,3,
950610622,6,1,6,adversarial,1,13,19,ALLOW,4,2,3,1.4615384615384615
950610623,6,1,6,adversarial,1,15,24,ALLOW,5,3,4,1.6
950610624,6,1,6,adversarial,1,9,17,ALLOW,5,3,4,1.8888888888888888
950610625,6,1,6,adversarial,1,16,23,ALLOW,4,2,3,1.4375
950610626,6,1,6,adversarial,1,9,16,ALLOW,5,3,4,1.7777777777777777
950610627,6,1,6,adversarial,0,,1,STEP_UP,1,1,2,
950610628,6,1,6,adversarial,1,10,15,ALLOW,4,2,3,1.5
950610629,6,1,6,adversarial,1,13,20,ALLOW,5,3,4,1.5384615384615385
950610630,6,1,6,adversarial,0,,2,STEP_UP,2,2,3,
950610631,6,1,6,adversarial,1,8,11,ALLOW,4,2,3,1.375
950610632,6,1,6,adversarial,1,14,16,ALLOW,3,1,2,1.1428571428571428
950610633,6,1,6,adversarial,0,,17,STEP_UP,4,3,4,
950610634,6,1,6,adversarial,1,14,18,ALLOW,3,1,2,1.2857142857142858
950610635,6,1,6,adversarial,1,14,22,ALLOW,4,2,3,1.5714285714285714
950610636,6,1,6,adversarial,1,10,14,ALLOW,5,3,4,1.4
950610637,6,1,6,adversarial,1,9,12,ALLOW,3,1,2,1.3333333333333333
950610638,6,1,6,adversarial,1,18,25,ALLOW,5,3,4,1.3888888888888888
950610639,6,1,6,adversarial,0,,16,STEP_UP,5,3,4,
950610900,6,1,9,benign,1,7,7,ALLOW,2,0,1,1.0
950610901,6,1,9,benign,1,7,7,ALLOW,2,0,1,1.0
950610902,6,1,9,benign,1,3,3,ALLOW,2,0,1,1.0
950610903,6,1,9,benign,1,7,7,ALLOW,2,0,1,1.0
950610904,6,1,9,benign,1,3,3,ALLOW,2,0,1,1.0
950610905,6,1,9,benign,1,2,2,ALLOW,2,0,1,1.0
950610906,6,1,9,benign,1,10,10,ALLOW,2,0,1,1.0
950610907,6,1,9,benign,1,7,7,ALLOW,2,0,1,1.0
950610908,6,1,9,benign,1,5,5,ALLOW,2,0,1,1.0
950610909,6,1,9,benign,1,4,4,ALLOW,2,0,1,1.0
950610910,6,1,9,benign,1,5,5,ALLOW,2,0,1,1.0
950610911,6,1,9,benign,1,5,5,ALLOW,2,0,1,1.0
950610912,6,1,9,benign,1,4,4,ALLOW,2,0,1,1.0
950610913,6,1,9,benign,1,6,6,ALLOW,2,0,1,1.0
950610914,6,1,9,benign,1,7,7,ALLOW,2,0,1,1.0
950610915,6,1,9,benign,1,6,6,ALLOW,2,0,1,1.0
950610916,6,1,9,benign,1,6,6,ALLOW,2,0,1,1.0
950610917,6,1,9,benign,1,2,2,ALLOW,2,0,1,1.0
950610918,6,1,9,benign,1,6,6,ALLOW,2,0,1,1.0
950610919,6,1,9,benign,1,6,6,ALLOW,2,0,1,1.0
