seed,domain_count,active_domain_count,fault_budget,n_candidates,estimated_hypotheses,skipped_resource_limit,cwr_feasible,cwr_cost,cwr_time_ms,fallback_verdict
940050200,50,48,1,10,49,0,1,3,0.089,
940050201,50,49,1,10,50,0,1,6,0.0508,
940050202,50,48,1,10,49,0,1,2,0.042,
940050203,50,45,1,10,46,0,1,2,0.0388,
940050204,50,50,1,10,51,0,1,4,0.0374,
940050205,50,49,1,10,50,0,1,3,0.04,
940050206,50,45,1,10,46,0,1,3,0.0338,
940050207,50,50,1,10,51,0,1,8,0.0445,
940050208,50,50,1,10,51,0,1,2,0.0341,
940050209,50,47,1,10,48,0,1,2,0.0357,
940050300,50,50,1,20,51,0,1,2,0.045,
940050301,50,50,1,20,51,0,1,1,0.0457,
940050302,50,50,1,20,51,0,1,1,0.0456,
940050303,50,50,1,20,51,0,1,3,0.0574,
940050304,50,50,1,20,51,0,1,1,0.0489,
940050305,50,50,1,20,51,0,1,1,0.045,
940050306,50,50,1,20,51,0,1,3,0.0555,
940050307,50,50,1,20,51,0,1,1,0.0456,
940050308,50,50,1,20,51,0,1,3,0.0486,
940050309,50,49,1,20,50,0,1,1,0.0528,
940050500,50,50,1,40,51,0,1,2,0.0682,
940050501,50,50,1,40,51,0,1,1,0.0979,
940050502,50,50,1,40,51,0,1,1,0.0711,
940050503,50,50,1,40,51,0,1,1,0.0927,
940050504,50,50,1,40,51,0,1,1,0.0835,
940050505,50,50,1,40,51,0,1,2,0.0924,
940050506,50,50,1,40,51,0,1,1,0.0853,
940050507,50,50,1,40,51,0,1,1,0.0792,
940050508,50,50,1,40,51,0,1,2,0.0852,
940050509,50,50,1,40,51,0,1,1,0.1628,
940050600,50,50,5,10,2369936,1,,,,STEP_UP
940050601,50,47,5,10,1729648,1,,,,STEP_UP
940050602,50,46,5,10,1550201,1,,,,STEP_UP
940050603,50,47,5,10,1729648,1,,,,STEP_UP
940050604,50,50,5,10,2369936,1,,,,STEP_UP
940050605,50,47,5,10,1729648,1,,,,STEP_UP
940050606,50,49,5,10,2138410,1,,,,STEP_UP
940050607,50,49,5,10,2138410,1,,,,STEP_UP
940050608,50,41,5,10,862190,1,,,,STEP_UP
940050609,50,50,5,10,2369936,1,,,,STEP_UP
940050700,50,50,5,20,2369936,1,,,,STEP_UP
940050701,50,49,5,20,2138410,1,,,,STEP_UP
940050702,50,50,5,20,2369936,1,,,,STEP_UP
940050703,50,50,5,20,2369936,1,,,,STEP_UP
940050704,50,50,5,20,2369936,1,,,,STEP_UP
940050705,50,50,5,20,2369936,1,,,,STEP_UP
940050706,50,50,5,20,2369936,1,,,,STEP_UP
940050707,50,50,5,20,2369936,1,,,,STEP_UP
940050708,50,50,5,20,2369936,1,,,,STEP_UP
940050709,50,50,5,20,2369936,1,,,,STEP_UP
940050900,50,50,5,40,2369936,1,,,,STEP_UP
940050901,50,50,5,40,2369936,1,,,,STEP_UP
940050902,50,50,5,40,2369936,1,,,,STEP_UP
940050903,50,50,5,40,2369936,1,,,,STEP_UP
940050904,50,50,5,40,2369936,1,,,,STEP_UP
940050905,50,50,5,40,2369936,1,,,,STEP_UP
940050906,50,50,5,40,2369936,1,,,,STEP_UP
940050907,50,50,5,40,2369936,1,,,,STEP_UP
940050908,50,50,5,40,2369936,1,,,,STEP_UP
940050909,50,50,5,40,2369936,1,,,,STEP_UP
940051100,50,49,10,10,10825279046,1,,,,STEP_UP
940051101,50,44,10,10,3414035527,1,,,,STEP_UP
940051102,50,48,10,10,8682997471,1,,,,STEP_UP
940051103,50,47,10,10,6930532111,1,,,,STEP_UP
940051104,50,48,10,10,8682997471,1,,,,STEP_UP
940051105,50,47,10,10,6930532111,1,,,,STEP_UP
940051106,50,50,10,10,13432735556,1,,,,STEP_UP
940051107,50,48,10,10,8682997471,1,,,,STEP_UP
940051108,50,46,10,10,5503441266,1,,,,STEP_UP
940051109,50,47,10,10,6930532111,1,,,,STEP_UP
940051200,50,50,10,20,13432735556,1,,,,STEP_UP
940051201,50,50,10,20,13432735556,1,,,,STEP_UP
940051202,50,50,10,20,13432735556,1,,,,STEP_UP
940051203,50,50,10,20,13432735556,1,,,,STEP_UP
940051204,50,50,10,20,13432735556,1,,,,STEP_UP
940051205,50,50,10,20,13432735556,1,,,,STEP_UP
940051206,50,50,10,20,13432735556,1,,,,STEP_UP
940051207,50,50,10,20,13432735556,1,,,,STEP_UP
940051208,50,50,10,20,13432735556,1,,,,STEP_UP
940051209,50,50,10,20,13432735556,1,,,,STEP_UP
940051400,50,50,10,40,13432735556,1,,,,STEP_UP
940051401,50,50,10,40,13432735556,1,,,,STEP_UP
940051402,50,50,10,40,13432735556,1,,,,STEP_UP
940051403,50,50,10,40,13432735556,1,,,,STEP_UP
940051404,50,50,10,40,13432735556,1,,,,STEP_UP
940051405,50,50,10,40,13432735556,1,,,,STEP_UP
940051406,50,50,10,40,13432735556,1,,,,STEP_UP
940051407,50,50,10,40,13432735556,1,,,,STEP_UP
940051408,50,50,10,40,13432735556,1,,,,STEP_UP
940051409,50,50,10,40,13432735556,1,,,,STEP_UP
940052100,50,50,20,10,114075475473136,1,,,,STEP_UP
940052101,50,49,20,10,71176501409756,1,,,,STEP_UP
940052102,50,47,20,10,26859285054466,1,,,,STEP_UP
940052103,50,46,20,10,16233759030806,1,,,,STEP_UP
940052104,50,50,20,10,114075475473136,1,,,,STEP_UP
940052105,50,42,20,10,1929894318332,1,,,,STEP_UP
940052106,50,44,20,10,5731427140268,1,,,,STEP_UP
940052107,50,49,20,10,71176501409756,1,,,,STEP_UP
940052108,50,50,20,10,114075475473136,1,,,,STEP_UP
940052109,50,47,20,10,26859285054466,1,,,,STEP_UP
940052200,50,50,20,20,114075475473136,1,,,,STEP_UP
940052201,50,48,20,20,43956090429826,1,,,,STEP_UP
940052202,50,50,20,20,114075475473136,1,,,,STEP_UP
940052203,50,50,20,20,114075475473136,1,,,,STEP_UP
940052204,50,50,20,20,114075475473136,1,,,,STEP_UP
940052205,50,50,20,20,114075475473136,1,,,,STEP_UP
940052206,50,50,20,20,114075475473136,1,,,,STEP_UP
940052207,50,49,20,20,71176501409756,1,,,,STEP_UP
940052208,50,50,20,20,114075475473136,1,,,,STEP_UP
940052209,50,50,20,20,114075475473136,1,,,,STEP_UP
940052400,50,50,20,40,114075475473136,1,,,,STEP_UP
940052401,50,50,20,40,114075475473136,1,,,,STEP_UP
940052402,50,50,20,40,114075475473136,1,,,,STEP_UP
940052403,50,50,20,40,114075475473136,1,,,,STEP_UP
940052404,50,50,20,40,114075475473136,1,,,,STEP_UP
940052405,50,50,20,40,114075475473136,1,,,,STEP_UP
940052406,50,50,20,40,114075475473136,1,,,,STEP_UP
940052407,50,50,20,40,114075475473136,1,,,,STEP_UP
