group,trial,extra_payment,total_committed
retain_uncertain_reservation,0,0,100
retain_uncertain_reservation,1,0,100
retain_uncertain_reservation,2,0,100
retain_uncertain_reservation,3,0,100
retain_uncertain_reservation,4,0,100
retain_uncertain_reservation,5,0,100
retain_uncertain_reservation,6,0,100
retain_uncertain_reservation,7,0,100
retain_uncertain_reservation,8,0,100
retain_uncertain_reservation,9,0,100
release_uncertain_reservation,0,1,100
release_uncertain_reservation,1,1,100
release_uncertain_reservation,2,1,100
release_uncertain_reservation,3,1,100
release_uncertain_reservation,4,1,100
release_uncertain_reservation,5,1,100
release_uncertain_reservation,6,1,100
release_uncertain_reservation,7,1,100
release_uncertain_reservation,8,1,100
release_uncertain_reservation,9,1,100
