layout,event_case,seed,variant,attack,truth_at_dispatch,verdict,payment_effect,unauthorized_payment,benign_completed,fetches,cost
independent,benign_unchanged,20260916,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260916,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260916,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260916,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260916,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260916,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260916,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260916,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260917,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260917,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260917,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260918,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260918,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260918,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260919,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260919,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260919,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260920,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260920,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260920,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,QUOTE,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,MAJORITY,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260921,STATIC,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,TTL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,FULL,0,1,ALLOW,1,0,1,6,13
independent,benign_unchanged,20260921,AFFECTED,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,RESIDUAL,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260921,CWR,0,1,ALLOW,1,0,1,0,0
independent,benign_unchanged,20260922,QUOTE,0,1,ALLOW,1,0,1,0,0
