n_sources,fraction_changed,variant,latency_ms
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0065
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0106
6,0.0,FULL,0.0064
6,0.0,FULL,0.0064
6,0.0,FULL,0.0065
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0062
6,0.0,FULL,0.0065
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0065
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0064
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0121
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0064
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
6,0.0,FULL,0.0062
6,0.0,FULL,0.0063
6,0.0,FULL,0.0063
