seed,fault_budget,n_candidates,has_residual,feasible,cwr_cost,exhaustive_cost,greedy_cost,sequential_cost,full_cost,cwr_matches_exhaustive
806000,1,6,1,1,2,2,2,9,22,1
806001,1,6,0,1,10,10,10,19,40,1
806002,1,6,1,1,3,3,3,13,28,1
806003,1,6,0,1,8,8,8,10,31,1
806004,1,6,1,1,4,4,4,5,21,1
806005,1,6,0,1,7,7,7,10,37,1
806006,1,6,1,1,2,2,2,2,41,1
806007,1,6,0,1,7,7,7,30,36,1
806008,1,6,1,1,2,2,2,9,28,1
806009,1,6,0,1,3,3,3,10,23,1
806010,1,6,1,1,1,1,1,13,29,1
806011,1,6,0,1,2,2,2,7,16,1
806012,1,6,1,1,3,3,3,7,15,1
806013,1,6,0,1,5,5,5,6,34,1
806014,1,6,1,1,6,6,6,24,47,1
806015,1,6,0,1,8,8,8,11,35,1
806016,1,6,1,1,7,7,7,23,29,1
806017,1,6,0,1,6,6,6,14,34,1
806018,1,6,1,1,1,1,1,1,28,1
806019,1,6,0,1,3,3,3,9,26,1
806020,1,6,1,1,4,4,4,7,38,1
806021,1,6,0,1,5,5,6,10,25,1
806022,1,6,1,1,4,4,4,15,33,1
806023,1,6,0,1,5,5,5,16,31,1
806024,1,6,1,1,2,2,2,2,34,1
806025,1,6,0,1,4,4,4,14,21,1
806026,1,6,1,1,5,5,5,8,34,1
806027,1,6,0,1,5,5,5,32,34,1
806028,1,6,1,1,1,1,1,5,20,1
806029,1,6,0,1,7,7,7,13,33,1
806030,1,6,1,1,2,2,2,17,32,1
806031,1,6,0,1,5,5,5,18,23,1
806032,1,6,1,1,4,4,4,12,34,1
806033,1,6,0,1,5,5,5,6,23,1
806034,1,6,1,1,1,1,1,8,22,1
806035,1,6,0,1,3,3,3,12,22,1
806036,1,6,1,1,3,3,3,12,29,1
806037,1,6,0,1,12,12,14,17,37,1
806038,1,6,1,1,1,1,1,6,26,1
806039,1,6,0,1,7,7,7,17,38,1
806040,1,6,1,1,11,11,11,18,32,1
806041,1,6,0,1,6,6,6,15,39,1
806042,1,6,1,1,2,2,2,14,38,1
806043,1,6,0,1,6,6,6,10,36,1
806044,1,6,1,1,5,5,5,10,26,1
806045,1,6,0,1,11,11,11,24,37,1
806046,1,6,1,1,2,2,2,8,34,1
806047,1,6,0,1,6,6,8,10,25,1
806048,1,6,1,1,2,2,2,6,37,1
806049,1,6,0,1,8,8,10,10,28,1
806050,1,6,1,1,4,4,6,9,32,1
806051,1,6,0,1,9,9,9,18,36,1
806052,1,6,1,1,1,1,1,8,34,1
806053,1,6,0,1,7,7,8,7,27,1
806054,1,6,1,1,8,8,8,13,35,1
806055,1,6,0,1,4,4,4,21,25,1
806056,1,6,1,1,7,7,7,8,42,1
806057,1,6,0,1,4,4,4,11,25,1
806058,1,6,1,1,4,4,4,5,43,1
806059,1,6,0,1,5,5,5,15,34,1
806060,1,6,1,1,3,3,3,10,33,1
806061,1,6,0,1,3,3,3,6,19,1
806062,1,6,1,1,3,3,3,6,35,1
806063,1,6,0,1,12,12,16,12,38,1
806064,1,6,1,1,3,3,3,3,28,1
806065,1,6,0,1,5,5,5,9,30,1
806066,1,6,1,1,5,5,5,13,35,1
806067,1,6,0,1,10,10,13,13,26,1
806068,1,6,1,1,2,2,2,3,28,1
806069,1,6,0,1,9,9,9,34,34,1
806070,1,6,1,1,11,11,11,22,39,1
806071,1,6,0,1,8,8,8,26,34,1
806072,1,6,1,1,1,1,1,7,25,1
806073,1,6,0,1,6,6,6,19,30,1
806074,1,6,1,1,4,4,4,4,22,1
806075,1,6,0,1,4,4,4,4,24,1
806076,1,6,1,1,1,1,1,8,24,1
806077,1,6,0,1,6,6,6,8,22,1
806078,1,6,1,1,2,2,2,3,31,1
806079,1,6,0,1,7,7,9,7,25,1
806080,1,6,1,1,6,6,6,21,33,1
806081,1,6,0,1,12,12,12,14,35,1
806082,1,6,1,1,3,3,3,14,41,1
806083,1,6,0,1,2,2,2,10,27,1
806084,1,6,1,1,2,2,2,10,26,1
806085,1,6,0,1,3,3,3,12,23,1
806086,1,6,1,1,1,1,1,4,19,1
806087,1,6,0,1,3,3,3,12,17,1
806088,1,6,1,1,3,3,3,3,38,1
806089,1,6,0,1,7,7,7,16,39,1
806090,1,6,1,1,1,1,1,12,20,1
806091,1,6,0,1,7,7,7,19,31,1
806092,1,6,1,1,2,2,3,16,28,1
806093,1,6,0,1,11,11,11,16,36,1
