repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
0,benign_standard,AP2_ONLY,0,0,3.6227,0.0
0,benign_standard,MAJORITY,5,14,50.1682,309.0405
0,benign_standard,TTL,0,0,2.7712,0.0
0,benign_standard,FULL,5,14,18.607,335.5518
0,benign_standard,CWR,0,0,32.2143,0.0
0,benign_standard,DFMR,0,0,2.7023,0.0
0,benign_cached,AP2_ONLY,0,0,2.5059,0.0
0,benign_cached,MAJORITY,5,14,45.5246,455.5489
0,benign_cached,TTL,0,0,2.3986,0.0
0,benign_cached,FULL,5,14,44.8875,301.9181
0,benign_cached,CWR,0,0,13.5008,0.0
0,benign_cached,DFMR,0,0,2.4356,0.0
0,benign_one_source_outage,AP2_ONLY,0,0,14.097,0.0
0,benign_one_source_outage,MAJORITY,5,14,26.229,193.2461
0,benign_one_source_outage,TTL,0,0,2.4123,0.0
0,benign_one_source_outage,FULL,5,14,21.6476,618.5087
0,benign_one_source_outage,CWR,0,0,2.3444,0.0
0,benign_one_source_outage,DFMR,0,0,2.9285,0.0
0,benign_two_independent_outages,AP2_ONLY,0,0,3.0889,0.0
0,benign_two_independent_outages,MAJORITY,5,14,12.3077,297.9862
0,benign_two_independent_outages,TTL,0,0,2.581,0.0
0,benign_two_independent_outages,FULL,5,14,6.1228,391.8398
0,benign_two_independent_outages,CWR,3,10,4.2869,303.0494
0,benign_two_independent_outages,DFMR,5,14,10.0669,900.7619
0,prompt_injection,AP2_ONLY,0,0,2.5896,0.0
0,prompt_injection,MAJORITY,5,14,47.4862,424.9965
0,prompt_injection,TTL,0,0,1.7864,0.0
0,prompt_injection,FULL,5,14,29.1264,521.4754
0,prompt_injection,CWR,3,10,43.2662,239.3251
0,prompt_injection,DFMR,0,0,1.6138,0.0
0,role_tag_injection,AP2_ONLY,0,0,12.9563,0.0
0,role_tag_injection,MAJORITY,5,14,13.2857,194.6184
0,role_tag_injection,TTL,0,0,1.6268,0.0
0,role_tag_injection,FULL,5,14,23.0672,301.5355
0,role_tag_injection,CWR,3,10,12.6973,304.7697
0,role_tag_injection,DFMR,3,10,45.8262,410.769
0,semantic_substitution,AP2_ONLY,0,0,3.2761,0.0
0,semantic_substitution,MAJORITY,5,14,6.5146,312.8458
0,semantic_substitution,TTL,0,0,1.6526,0.0
0,semantic_substitution,FULL,5,14,5.3335,440.6597
0,semantic_substitution,CWR,3,10,27.6075,251.827
0,semantic_substitution,DFMR,0,0,1.9161,0.0
0,shared_provenance,AP2_ONLY,0,0,2.457,0.0
0,shared_provenance,MAJORITY,5,14,13.1906,495.438
0,shared_provenance,TTL,0,0,1.6561,0.0
0,shared_provenance,FULL,5,14,25.9878,158.5873
0,shared_provenance,CWR,3,10,15.8357,153.8522
0,shared_provenance,DFMR,3,10,47.8061,457.4422
0,stale_evidence,AP2_ONLY,0,0,2.7831,0.0
0,stale_evidence,MAJORITY,5,14,47.3979,209.897
0,stale_evidence,TTL,0,0,4.5326,0.0
0,stale_evidence,FULL,5,14,9.3902,140.0656
0,stale_evidence,CWR,3,10,7.0008,163.0388
0,stale_evidence,DFMR,3,10,13.7963,519.9903
0,version_race,AP2_ONLY,0,0,4.5517,0.0
0,version_race,MAJORITY,5,14,10.2361,336.6897
0,version_race,TTL,0,0,4.8644,0.0
0,version_race,FULL,5,14,9.8971,624.2151
0,version_race,CWR,0,0,3.0153,0.0
0,version_race,DFMR,0,0,2.8744,0.0
0,evidence_denial,AP2_ONLY,0,0,15.1169,0.0
0,evidence_denial,MAJORITY,5,14,48.5393,176.9844
0,evidence_denial,TTL,0,0,2.6889,0.0
0,evidence_denial,FULL,5,14,9.919,620.8118
0,evidence_denial,CWR,3,10,8.1329,234.8817
0,evidence_denial,DFMR,5,14,16.864,1570.0899
0,amount_mutation,AP2_ONLY,0,0,2.8558,0.0
0,amount_mutation,MAJORITY,0,0,3.0167,0.0
0,amount_mutation,TTL,0,0,2.8122,0.0
0,amount_mutation,FULL,0,0,2.7912,0.0
0,amount_mutation,CWR,0,0,2.6512,0.0
0,amount_mutation,DFMR,0,0,2.4978,0.0
0,merchant_substitution,AP2_ONLY,0,0,2.6389,0.0
0,merchant_substitution,MAJORITY,0,0,3.1811,0.0
0,merchant_substitution,TTL,0,0,3.0011,0.0
0,merchant_substitution,FULL,0,0,2.8415,0.0
0,merchant_substitution,CWR,0,0,2.5663,0.0
0,merchant_substitution,DFMR,0,0,2.6935,0.0
0,currency_substitution,AP2_ONLY,0,0,3.0441,0.0
