seed,domain_count,fault_budget,n_candidates,has_residual,feasible,cwr_cost,exhaustive_cost,cwr_matches_exhaustive
930610800,6,1,8,1,1,1,1,1
930610801,6,1,8,0,1,3,3,1
930610802,6,1,8,1,1,1,1,1
930610803,6,1,8,0,1,4,4,1
930610804,6,1,8,1,1,3,3,1
930610805,6,1,8,0,1,6,6,1
930610806,6,1,8,1,1,3,3,1
930610807,6,1,8,0,1,4,4,1
930610808,6,1,8,1,1,3,3,1
930610809,6,1,8,0,1,8,8,1
930610810,6,1,8,1,1,1,1,1
930610811,6,1,8,0,1,5,5,1
930610812,6,1,8,1,1,4,4,1
930610813,6,1,8,0,1,4,4,1
930610814,6,1,8,1,1,1,1,1
930610815,6,1,8,0,1,6,6,1
930610816,6,1,8,1,1,2,2,1
930610817,6,1,8,0,1,3,3,1
930610818,6,1,8,1,1,4,4,1
930610819,6,1,8,0,1,2,2,1
930610820,6,1,8,1,1,8,8,1
930610821,6,1,8,0,1,5,5,1
930610822,6,1,8,1,1,2,2,1
930610823,6,1,8,0,1,8,8,1
930610824,6,1,8,1,1,5,5,1
930611000,6,1,10,1,1,1,1,1
930611001,6,1,10,0,1,7,7,1
930611002,6,1,10,1,1,4,4,1
930611003,6,1,10,0,1,6,6,1
930611004,6,1,10,1,1,1,1,1
930611005,6,1,10,0,1,3,3,1
930611006,6,1,10,1,1,3,3,1
930611007,6,1,10,0,1,4,4,1
930611008,6,1,10,1,1,4,4,1
930611009,6,1,10,0,1,3,3,1
930611010,6,1,10,1,1,1,1,1
930611011,6,1,10,0,1,3,3,1
930611012,6,1,10,1,1,2,2,1
930611013,6,1,10,0,1,13,13,1
930611014,6,1,10,1,1,1,1,1
930611015,6,1,10,0,1,3,3,1
930611016,6,1,10,1,1,1,1,1
930611017,6,1,10,0,1,3,3,1
930611018,6,1,10,1,1,3,3,1
930611019,6,1,10,0,1,2,2,1
930611020,6,1,10,1,1,2,2,1
930611021,6,1,10,0,1,2,2,1
930611022,6,1,10,1,1,7,7,1
930611023,6,1,10,0,1,3,3,1
930611024,6,1,10,1,1,1,1,1
930611200,6,1,12,1,1,5,5,1
930611201,6,1,12,0,1,5,5,1
930611202,6,1,12,1,1,2,2,1
930611203,6,1,12,0,1,2,2,1
930611204,6,1,12,1,1,3,3,1
930611205,6,1,12,0,1,3,3,1
930611206,6,1,12,1,1,2,2,1
930611207,6,1,12,0,1,2,2,1
930611208,6,1,12,1,1,1,1,1
930611209,6,1,12,0,1,3,3,1
930611210,6,1,12,1,1,3,3,1
930611211,6,1,12,0,1,4,4,1
930611212,6,1,12,1,1,2,2,1
930611213,6,1,12,0,1,3,3,1
930611214,6,1,12,1,1,1,1,1
930611215,6,1,12,0,1,4,4,1
930611216,6,1,12,1,1,2,2,1
930611217,6,1,12,0,1,3,3,1
930611218,6,1,12,1,1,1,1,1
930611219,6,1,12,0,1,8,8,1
930611220,6,1,12,1,1,5,5,1
930611221,6,1,12,0,1,4,4,1
930611222,6,1,12,1,1,3,3,1
930611223,6,1,12,0,1,6,6,1
930611224,6,1,12,1,1,2,2,1
930620800,6,2,8,1,1,10,10,1
930620801,6,2,8,0,1,13,13,1
930620802,6,2,8,1,1,8,8,1
930620803,6,2,8,0,0,,,1
930620804,6,2,8,1,1,4,4,1
930620805,6,2,8,0,1,14,14,1
930620806,6,2,8,1,1,13,13,1
930620807,6,2,8,0,1,14,14,1
930620808,6,2,8,1,1,12,12,1
930620809,6,2,8,0,1,13,13,1
930620810,6,2,8,1,1,16,16,1
930620811,6,2,8,0,1,9,9,1
930620812,6,2,8,1,1,13,13,1
930620813,6,2,8,0,1,10,10,1
930620814,6,2,8,1,1,22,22,1
930620815,6,2,8,0,1,5,5,1
930620816,6,2,8,1,0,,,1
930620817,6,2,8,0,1,11,11,1
930620818,6,2,8,1,1,8,8,1
930620819,6,2,8,0,1,13,13,1
930620820,6,2,8,1,1,13,13,1
930620821,6,2,8,0,0,,,1
930620822,6,2,8,1,1,4,4,1
930620823,6,2,8,0,0,,,1
930620824,6,2,8,1,1,24,24,1
930621000,6,2,10,1,1,8,8,1
930621001,6,2,10,0,1,16,16,1
930621002,6,2,10,1,1,4,4,1
930621003,6,2,10,0,1,10,10,1
930621004,6,2,10,1,1,5,5,1
930621005,6,2,10,0,1,10,10,1
930621006,6,2,10,1,0,,,1
