seed,domain_count,fault_budget,n_candidates,skipped_resource_limit,dfmr_time_ms,fallback_verdict
920604100,6,1,4,0,1.2625,
920604101,6,1,4,0,1.041,
920604102,6,1,4,0,1.065,
920604103,6,1,4,0,1.2569,
920604104,6,1,4,0,1.1626,
920604105,6,1,4,0,1.1555,
920604106,6,1,4,0,1.2085,
920604107,6,1,4,0,1.0106,
920604108,6,1,4,0,1.1377,
920604109,6,1,4,0,2.1542,
920604200,6,2,4,0,1.3286,
920604201,6,2,4,0,1.2204,
920604202,6,2,4,0,1.3916,
920604203,6,2,4,0,1.3461,
920604204,6,2,4,0,1.5773,
920604205,6,2,4,0,1.3121,
920604206,6,2,4,0,1.4,
920604207,6,2,4,0,1.3905,
920604208,6,2,4,0,1.3136,
920604209,6,2,4,0,1.4448,
920606100,6,1,6,0,9.4093,
920606101,6,1,6,0,10.9446,
920606102,6,1,6,0,14.6475,
920606103,6,1,6,0,13.0815,
920606104,6,1,6,0,12.4426,
920606105,6,1,6,0,13.6459,
920606106,6,1,6,0,7.061,
920606107,6,1,6,0,11.6891,
920606108,6,1,6,0,7.5782,
920606109,6,1,6,0,8.9626,
920606200,6,2,6,0,19.4952,
920606201,6,2,6,0,20.5357,
920606202,6,2,6,0,21.1988,
920606203,6,2,6,0,19.8855,
920606204,6,2,6,0,22.0785,
920606205,6,2,6,0,22.2024,
920606206,6,2,6,0,25.0971,
920606207,6,2,6,0,17.28,
920606208,6,2,6,0,21.7163,
920606209,6,2,6,0,24.5647,
920608100,6,1,8,0,63.54,
920608101,6,1,8,0,37.6803,
920608102,6,1,8,0,45.9004,
920608103,6,1,8,0,70.6811,
920608104,6,1,8,0,48.0552,
920608105,6,1,8,0,54.7406,
920608106,6,1,8,0,109.4732,
920608107,6,1,8,0,30.8902,
920608108,6,1,8,0,58.1345,
920608109,6,1,8,0,43.9598,
920608200,6,2,8,0,227.0848,
920608201,6,2,8,0,289.232,
920608202,6,2,8,0,274.9267,
920608203,6,2,8,0,289.0158,
920608204,6,2,8,0,245.1275,
920608205,6,2,8,0,265.2803,
920608206,6,2,8,0,232.0106,
920608207,6,2,8,0,210.3791,
920608208,6,2,8,0,228.5277,
920608209,6,2,8,0,285.2204,
920609100,6,1,9,0,95.9857,
920609101,6,1,9,0,74.348,
920609102,6,1,9,0,222.702,
920609103,6,1,9,0,88.6395,
920609104,6,1,9,0,62.789,
920609105,6,1,9,0,179.4765,
920609106,6,1,9,0,123.0974,
920609107,6,1,9,0,183.0971,
920609108,6,1,9,0,90.5401,
920609109,6,1,9,0,222.0446,
920609200,6,2,9,0,1042.9624,
920609201,6,2,9,0,999.0668,
920609202,6,2,9,0,971.1144,
920609203,6,2,9,0,870.9383,
920609204,6,2,9,0,860.2347,
920609205,6,2,9,0,695.0533,
920609206,6,2,9,0,870.8249,
920609207,6,2,9,0,945.6315,
920609208,6,2,9,0,853.5322,
920609209,6,2,9,0,1174.649,
920610100,6,1,10,1,,STEP_UP
920610101,6,1,10,1,,STEP_UP
920610102,6,1,10,1,,STEP_UP
920610103,6,1,10,1,,STEP_UP
920610104,6,1,10,1,,STEP_UP
920610105,6,1,10,1,,STEP_UP
920610106,6,1,10,1,,STEP_UP
920610107,6,1,10,1,,STEP_UP
920610108,6,1,10,1,,STEP_UP
920610109,6,1,10,1,,STEP_UP
920610200,6,2,10,1,,STEP_UP
920610201,6,2,10,1,,STEP_UP
920610202,6,2,10,1,,STEP_UP
920610203,6,2,10,1,,STEP_UP
920610204,6,2,10,1,,STEP_UP
920610205,6,2,10,1,,STEP_UP
920610206,6,2,10,1,,STEP_UP
920610207,6,2,10,1,,STEP_UP
920610208,6,2,10,1,,STEP_UP
920610209,6,2,10,1,,STEP_UP
922004100,20,1,4,0,0.8214,
922004101,20,1,4,0,0.7818,
922004102,20,1,4,0,1.0382,
922004103,20,1,4,0,0.8037,
922004104,20,1,4,0,0.7682,
922004105,20,1,4,0,1.3689,
922004106,20,1,4,0,0.8289,
922004107,20,1,4,0,1.0328,
922004108,20,1,4,0,1.1975,
922004109,20,1,4,0,0.9524,
922004200,20,2,4,0,1.6098,
922004201,20,2,4,0,1.3916,
922004202,20,2,4,0,1.722,
922004203,20,2,4,0,1.7582,
922004204,20,2,4,0,1.8316,
922004205,20,2,4,0,1.5895,
922004206,20,2,4,0,1.7722,
922004207,20,2,4,0,1.9524,
922004208,20,2,4,0,1.7949,
922004209,20,2,4,0,1.6159,
922006100,20,1,6,0,6.4228,
922006101,20,1,6,0,4.5242,
922006102,20,1,6,0,4.6419,
922006103,20,1,6,0,5.4367,
922006104,20,1,6,0,2.9398,
922006105,20,1,6,0,6.0937,
922006106,20,1,6,0,5.0126,
922006107,20,1,6,0,6.2471,
922006108,20,1,6,0,5.007,
922006109,20,1,6,0,3.8998,
922006200,20,2,6,0,27.5244,
922006201,20,2,6,0,26.8402,
922006202,20,2,6,0,25.0126,
922006203,20,2,6,0,26.0576,
922006204,20,2,6,0,23.5413,
922006205,20,2,6,0,17.6756,
922006206,20,2,6,0,24.4403,
922006207,20,2,6,0,21.4421,
922006208,20,2,6,0,34.8549,
922006209,20,2,6,0,23.7692,
922008100,20,1,8,0,26.9734,
922008101,20,1,8,0,13.5847,
922008102,20,1,8,0,8.1171,
922008103,20,1,8,0,28.6713,
922008104,20,1,8,0,19.3996,
922008105,20,1,8,0,25.525,
922008106,20,1,8,0,13.8073,
922008107,20,1,8,0,16.4097,
922008108,20,1,8,0,19.2829,
922008109,20,1,8,0,24.6653,
922008200,20,2,8,0,293.8548,
922008201,20,2,8,0,203.742,
922008202,20,2,8,0,271.0187,
922008203,20,2,8,0,252.305,
922008204,20,2,8,0,221.1121,
922008205,20,2,8,0,221.3436,
922008206,20,2,8,0,209.814,
922008207,20,2,8,0,321.9612,
922008208,20,2,8,0,190.4002,
922008209,20,2,8,0,229.1213,
922009100,20,1,9,0,32.3342,
922009101,20,1,9,0,40.5933,
922009102,20,1,9,0,26.3475,
922009103,20,1,9,0,31.1117,
922009104,20,1,9,0,56.5982,
922009105,20,1,9,0,35.4911,
922009106,20,1,9,0,44.6353,
922009107,20,1,9,0,45.2143,
922009108,20,1,9,0,52.0437,
922009109,20,1,9,0,59.9595,
922009200,20,2,9,0,609.572,
922009201,20,2,9,0,703.1245,
922009202,20,2,9,0,965.2343,
922009203,20,2,9,0,1051.9187,
922009204,20,2,9,0,802.8826,
922009205,20,2,9,0,840.7158,
922009206,20,2,9,0,531.1255,
922009207,20,2,9,0,517.9658,
922009208,20,2,9,0,514.7578,
922009209,20,2,9,0,317.1769,
922010100,20,1,10,1,,STEP_UP
922010101,20,1,10,1,,STEP_UP
922010102,20,1,10,1,,STEP_UP
922010103,20,1,10,1,,STEP_UP
922010104,20,1,10,1,,STEP_UP
922010105,20,1,10,1,,STEP_UP
922010106,20,1,10,1,,STEP_UP
922010107,20,1,10,1,,STEP_UP
922010108,20,1,10,1,,STEP_UP
922010109,20,1,10,1,,STEP_UP
922010200,20,2,10,1,,STEP_UP
922010201,20,2,10,1,,STEP_UP
922010202,20,2,10,1,,STEP_UP
922010203,20,2,10,1,,STEP_UP
922010204,20,2,10,1,,STEP_UP
922010205,20,2,10,1,,STEP_UP
922010206,20,2,10,1,,STEP_UP
922010207,20,2,10,1,,STEP_UP
922010208,20,2,10,1,,STEP_UP
922010209,20,2,10,1,,STEP_UP
925004100,50,1,4,0,1.096,
925004101,50,1,4,0,0.9257,
925004102,50,1,4,0,0.8293,
925004103,50,1,4,0,0.9172,
925004104,50,1,4,0,0.8694,
925004105,50,1,4,0,1.1107,
925004106,50,1,4,0,1.1552,
925004107,50,1,4,0,0.9299,
925004108,50,1,4,0,0.9112,
925004109,50,1,4,0,1.1294,
925004200,50,2,4,0,1.8364,
925004201,50,2,4,0,1.8083,
925004202,50,2,4,0,2.083,
925004203,50,2,4,0,1.6984,
925004204,50,2,4,0,2.1265,
925004205,50,2,4,0,1.7986,
925004206,50,2,4,0,1.6144,
925004207,50,2,4,0,2.0176,
925004208,50,2,4,0,2.0346,
925004209,50,2,4,0,1.9676,
925006100,50,1,6,0,7.9308,
925006101,50,1,6,0,3.3217,
925006102,50,1,6,0,4.0387,
925006103,50,1,6,0,4.5355,
925006104,50,1,6,0,4.2111,
925006105,50,1,6,0,4.2749,
925006106,50,1,6,0,4.4905,
925006107,50,1,6,0,5.167,
925006108,50,1,6,0,3.8435,
925006109,50,1,6,0,5.3371,
925006200,50,2,6,0,27.5691,
925006201,50,2,6,0,24.5214,
925006202,50,2,6,0,20.5135,
925006203,50,2,6,0,21.361,
925006204,50,2,6,0,18.5952,
925006205,50,2,6,0,21.2175,
925006206,50,2,6,0,26.8207,
925006207,50,2,6,0,26.0422,
925006208,50,2,6,0,20.6117,
925006209,50,2,6,0,17.1639,
925008100,50,1,8,0,13.5733,
925008101,50,1,8,0,11.3544,
925008102,50,1,8,0,8.0917,
925008103,50,1,8,0,9.9955,
925008104,50,1,8,0,11.0089,
925008105,50,1,8,0,9.5925,
925008106,50,1,8,0,20.4556,
925008107,50,1,8,0,9.3234,
925008108,50,1,8,0,12.3307,
925008109,50,1,8,0,12.8252,
925008200,50,2,8,0,220.5599,
925008201,50,2,8,0,193.5363,
925008202,50,2,8,0,241.3011,
925008203,50,2,8,0,185.6373,
925008204,50,2,8,0,201.3091,
925008205,50,2,8,0,237.479,
925008206,50,2,8,0,148.2762,
925008207,50,2,8,0,171.9583,
925008208,50,2,8,0,151.6441,
925008209,50,2,8,0,184.8165,
925009100,50,1,9,0,11.7982,
925009101,50,1,9,0,25.2253,
925009102,50,1,9,0,18.1778,
925009103,50,1,9,0,12.1153,
925009104,50,1,9,0,23.034,
925009105,50,1,9,0,25.7898,
925009106,50,1,9,0,29.0129,
925009107,50,1,9,0,26.2205,
925009108,50,1,9,0,16.5264,
925009109,50,1,9,0,25.097,
925009200,50,2,9,0,453.4961,
925009201,50,2,9,0,563.809,
925009202,50,2,9,0,814.6824,
925009203,50,2,9,0,408.4434,
925009204,50,2,9,0,697.7836,
925009205,50,2,9,0,282.172,
925009206,50,2,9,0,873.9407,
925009207,50,2,9,0,235.7563,
925009208,50,2,9,0,233.9894,
925009209,50,2,9,0,493.9227,
925010100,50,1,10,1,,STEP_UP
925010101,50,1,10,1,,STEP_UP
925010102,50,1,10,1,,STEP_UP
925010103,50,1,10,1,,STEP_UP
925010104,50,1,10,1,,STEP_UP
925010105,50,1,10,1,,STEP_UP
925010106,50,1,10,1,,STEP_UP
925010107,50,1,10,1,,STEP_UP
925010108,50,1,10,1,,STEP_UP
925010109,50,1,10,1,,STEP_UP
925010200,50,2,10,1,,STEP_UP
925010201,50,2,10,1,,STEP_UP
925010202,50,2,10,1,,STEP_UP
925010203,50,2,10,1,,STEP_UP
925010204,50,2,10,1,,STEP_UP
925010205,50,2,10,1,,STEP_UP
925010206,50,2,10,1,,STEP_UP
925010207,50,2,10,1,,STEP_UP
925010208,50,2,10,1,,STEP_UP
925010209,50,2,10,1,,STEP_UP
