seed,domain_count,fault_budget,n_candidates,has_residual,estimated_hypotheses,skipped_resource_limit,cwr_feasible,cwr_cost,cwr_time_ms,fallback_verdict
910610600,6,1,6,1,7,0,1,6,0.0427,
910610601,6,1,6,0,6,0,1,5,0.0357,
910610602,6,1,6,1,7,0,1,10,0.0188,
910610603,6,1,6,0,7,0,1,3,0.023,
910610604,6,1,6,1,7,0,1,4,0.0135,
910610605,6,1,6,0,6,0,1,6,0.029,
910610606,6,1,6,1,7,0,1,8,0.0165,
910610607,6,1,6,0,4,0,1,13,0.0229,
910610608,6,1,6,1,7,0,1,4,0.015,
910610609,6,1,6,0,6,0,1,4,0.0218,
910610610,6,1,6,1,7,0,1,5,0.0124,
910610611,6,1,6,0,6,0,1,6,0.0195,
910610612,6,1,6,1,7,0,1,2,0.0125,
910610613,6,1,6,0,7,0,1,3,0.0194,
910610614,6,1,6,1,7,0,1,3,0.0134,
910610900,6,1,9,1,7,0,1,2,0.0174,
910610901,6,1,9,0,7,0,1,3,0.0288,
910610902,6,1,9,1,7,0,1,3,0.0196,
910610903,6,1,9,0,7,0,1,3,0.0317,
910610904,6,1,9,1,7,0,1,1,0.0153,
910610905,6,1,9,0,7,0,1,3,0.0294,
910610906,6,1,9,1,7,0,1,2,0.0136,
910610907,6,1,9,0,6,0,1,12,0.028,
910610908,6,1,9,1,7,0,1,1,0.0142,
910610909,6,1,9,0,7,0,1,2,0.0337,
910610910,6,1,9,1,7,0,1,2,0.0188,
910610911,6,1,9,0,7,0,1,4,0.0292,
910610912,6,1,9,1,7,0,1,3,0.0158,
910610913,6,1,9,0,7,0,1,3,0.0389,
910610914,6,1,9,1,7,0,1,1,0.015,
910611200,6,1,12,1,7,0,1,2,0.0201,
910611201,6,1,12,0,7,0,1,3,0.0338,
910611202,6,1,12,1,7,0,1,2,0.023,
910611203,6,1,12,0,7,0,1,6,0.0605,
910611204,6,1,12,1,7,0,1,1,0.0185,
910611205,6,1,12,0,7,0,1,6,0.0345,
910611206,6,1,12,1,7,0,1,1,0.0176,
910611207,6,1,12,0,7,0,1,3,0.0467,
910611208,6,1,12,1,7,0,1,4,0.0222,
910611209,6,1,12,0,7,0,1,4,0.031,
910611210,6,1,12,1,7,0,1,2,0.0226,
910611211,6,1,12,0,7,0,1,6,0.0304,
910611212,6,1,12,1,7,0,1,2,0.0153,
910611213,6,1,12,0,7,0,1,3,0.0809,
910611214,6,1,12,1,7,0,1,1,0.0184,
910611800,6,1,18,1,6,0,1,3,0.0291,
